frame_number,object_class,confidence_score,x1,y1,x2,y2
34,67,0.3113980293273926,289.26285,84.221466,567.9769,226.36522
35,63,0.5141189694404602,292.5512,89.219666,568.0,225.95412
35,67,0.319288432598114,293.10977,89.19194,567.98004,230.18575
36,63,0.6387826800346375,296.32028,93.431526,568.0,234.92519
37,63,0.6620522141456604,299.92505,96.154144,567.88794,237.74994
38,63,0.7442419528961182,303.8737,98.593666,567.4979,239.28801
39,63,0.7134177684783936,307.63742,99.87754,567.7345,240.6879
40,63,0.7006500363349915,310.94284,100.69208,567.83997,238.85396
41,63,0.6517266035079956,313.58704,100.65704,567.6987,242.48293
42,63,0.6524613499641418,317.04095,103.67004,567.6967,242.55669
42,67,0.25631099939346313,315.77606,103.26675,568.0,247.57649
43,63,0.6813164949417114,320.27515,105.268364,568.0,239.33138
44,63,0.5809381604194641,323.332,108.04018,567.859,251.86133
44,67,0.47386434674263,323.21884,107.131905,568.0,253.64142
45,67,0.40562185645103455,325.63556,112.22265,567.5662,260.3967
45,63,0.3574509620666504,325.40726,111.887505,567.37476,259.97754
47,63,0.29030802845954895,329.01917,128.71255,567.4853,277.59943
53,63,0.32344019412994385,333.0681,202.39684,567.68854,315.27682
54,63,0.70334792137146,332.46808,208.0682,567.4406,316.35788
55,63,0.7671014070510864,332.2298,211.10254,567.4074,315.99753
56,63,0.798479437828064,331.50064,211.3494,567.42993,315.94373
57,63,0.8059802055358887,330.7413,210.50186,567.3919,316.085
58,63,0.7127971649169922,328.80753,208.79367,567.36316,316.12833
59,63,0.6323900818824768,327.2276,207.02405,567.3624,316.39948
60,63,0.6924048066139221,325.2792,206.68797,567.37823,316.37625
61,63,0.736170768737793,324.04416,207.0524,567.3416,316.09204
62,63,0.6798019409179688,322.45673,208.06213,567.51746,316.019
63,63,0.6010368466377258,321.35587,211.15184,567.5662,315.7244
64,63,0.7872199416160583,320.4947,215.83183,567.65295,315.76526
65,63,0.7758328914642334,318.63898,220.33186,567.7366,315.84497
66,63,0.7882305979728699,317.32187,223.74928,567.7885,315.75818
67,63,0.8031517863273621,316.26633,227.21266,567.7543,316.06754
68,63,0.8030799031257629,314.70535,230.57741,567.7131,315.97632
69,63,0.8119086027145386,313.56915,232.39168,567.54974,316.2251
70,63,0.8058995008468628,312.64288,233.9922,567.59674,316.2347
71,63,0.8346225023269653,311.60977,234.90039,567.6079,316.2622
72,63,0.7980459928512573,310.7017,235.78893,567.5755,316.15793
73,63,0.8266705274581909,309.75278,236.40417,567.53577,316.28687
74,63,0.8500258326530457,309.51306,236.08572,567.5496,316.19495
75,63,0.8495171666145325,308.9039,235.19072,567.5837,316.18732
76,63,0.8642613291740417,308.02826,234.2296,567.6334,316.23532
77,63,0.8536924123764038,307.59903,232.52011,567.6855,316.09647
78,63,0.8705831170082092,306.81763,230.65405,567.80426,316.052
79,63,0.8709495663642883,306.51617,228.4902,567.82983,315.90417
80,63,0.8685494065284729,306.6066,227.2065,567.87103,316.0463
81,63,0.8309050798416138,306.59256,225.26125,567.7453,315.93933
82,63,0.8515493869781494,307.26257,224.04424,567.8555,316.03568
83,63,0.8482421636581421,307.76483,222.9231,567.77344,316.13605
84,63,0.8481985926628113,309.36423,222.45161,567.7815,316.17392
85,63,0.8551623225212097,310.43896,222.00201,567.6799,316.16803
86,63,0.776515007019043,312.65967,221.88905,567.5556,315.8363
87,63,0.8350986242294312,314.42285,221.53375,567.61615,315.81726
88,63,0.815772294998169,317.75034,221.46413,567.6348,315.87637
89,63,0.8014863133430481,321.47775,221.69025,567.6278,315.84378
90,63,0.8301464915275574,325.0037,221.99817,567.70856,315.91425
91,63,0.7598207592964172,329.5536,222.21208,567.7987,315.77997
92,63,0.7349244356155396,333.7793,222.28488,567.7709,315.90173
93,63,0.7941313982009888,337.8637,222.20802,567.73987,315.8979
94,63,0.7564072608947754,342.31235,221.97202,567.69446,315.97235
